Order_Number,Date,Time,Total_price,Employee_ID
1,2024-10-01,12:31,0.0,1116
2,2024-10-01,16:54,36.51,1116
3,2024-10-01,16:55,32.86,1111
4,2024-10-01,16:50,37.72,1113
5,2024-10-01,20:37,34.07,1114
6,2024-10-01,19:06,3.65,1111
7,2024-10-01,9:56,74.23,1116
8,2024-10-01,12:23,34.07,1114
9,2024-10-01,17:16,3.65,1113
10,2024-10-01,10:18,29.21,1114
11,2024-10-01,9:42,62.06,1117
12,2024-10-01,10:20,30.42,1117
13,2024-10-01,13:51,0.0,1116
14,2024-10-01,10:09,36.51,1114
15,2024-10-01,12:37,35.29,1116
16,2024-10-01,18:02,75.45,1111
17,2024-10-01,11:28,60.84,1112
18,2024-10-01,13:21,31.64,1114
19,2024-10-01,13:15,93.7,1111
20,2024-10-01,12:50,53.54,1113
21,2024-10-01,18:57,64.5,1111
22,2024-10-01,20:27,59.63,1117
23,2024-10-01,11:51,65.71,1117
24,2024-10-01,10:10,3.65,1117
25,2024-10-01,14:50,34.07,1115
26,2024-10-01,16:37,27.99,1112
27,2024-10-01,13:49,0.0,1115
28,2024-10-01,16:52,30.42,1112
29,2024-10-01,14:06,30.42,1116
30,2024-10-01,16:06,54.76,1112
31,2024-10-01,20:36,27.99,1112
32,2024-10-01,11:04,27.99,1114
33,2024-10-01,19:09,59.63,1112
34,2024-10-01,14:28,31.64,1115
35,2024-10-01,12:52,36.51,1113
36,2024-10-01,15:00,0.0,1114
37,2024-10-01,17:16,29.21,1113
38,2024-10-01,17:19,66.93,1111
39,2024-10-01,9:02,27.99,1117
40,2024-10-01,16:29,0.0,1116
41,2024-10-01,11:11,0.0,1117
42,2024-10-01,9:20,58.41,1111
43,2024-10-01,12:05,31.64,1113
44,2024-10-01,10:50,35.29,1114
45,2024-10-01,10:46,0.0,1116
46,2024-10-01,9:55,64.5,1115
47,2024-10-01,10:46,66.93,1113
48,2024-10-01,19:50,26.77,1114
49,2024-10-01,13:13,3.65,1113
50,2024-10-01,20:55,92.48,1114
51,2024-10-01,20:26,32.86,1111
52,2024-10-01,16:49,3.65,1112
53,2024-10-01,17:32,60.84,1115
54,2024-10-01,16:12,32.86,1114
55,2024-10-01,9:27,62.06,1113
56,2024-10-01,14:24,30.42,1114
57,2024-10-01,12:19,30.42,1111
58,2024-10-01,12:39,27.99,1111
59,2024-10-01,17:41,27.99,1117
60,2024-10-01,20:28,90.05,1114
61,2024-10-01,14:47,71.8,1116
62,2024-10-01,10:54,59.63,1111
63,2024-10-01,9:54,34.07,1115
64,2024-10-01,9:06,60.84,1116
65,2024-10-01,18:28,3.65,1114
66,2024-10-01,12:42,93.7,1112
67,2024-10-01,16:23,36.51,1113
68,2024-10-01,13:56,32.86,1116
69,2024-10-01,18:31,58.41,1111
70,2024-10-01,13:30,101.0,1116
71,2024-10-01,15:11,3.65,1114
72,2024-10-01,19:44,27.99,1116
73,2024-10-01,19:10,60.84,1117
74,2024-10-01,15:36,36.51,1115
75,2024-10-01,13:08,0.0,1112
76,2024-10-01,13:21,7.3,1116
77,2024-10-01,20:03,69.36,1114
78,2024-10-01,15:15,27.99,1117
79,2024-10-01,19:37,65.71,1111
80,2024-10-01,14:54,26.77,1116
81,2024-10-01,9:49,68.15,1112
82,2024-10-01,18:25,0.0,1117
83,2024-10-01,19:46,88.83,1113
84,2024-10-01,10:10,27.99,1115
85,2024-10-01,14:52,26.77,1114
86,2024-10-01,9:17,27.99,1115
87,2024-10-01,16:16,37.72,1114
88,2024-10-02,9:41,54.76,1115
89,2024-10-02,9:55,32.86,1111
90,2024-10-02,20:13,0.0,1112
91,2024-10-02,15:16,36.51,1117
92,2024-10-02,16:36,32.86,1113
93,2024-10-02,20:44,102.22,1115
94,2024-10-02,10:04,83.97,1111
95,2024-10-02,15:16,36.51,1115
96,2024-10-02,9:12,57.19,1117
97,2024-10-02,15:30,36.51,1117
98,2024-10-02,16:12,66.93,1115
99,2024-10-02,12:15,64.5,1114
100,2024-10-02,18:47,34.07,1114
101,2024-10-02,17:44,69.36,1114
102,2024-10-02,18:45,0.0,1114
103,2024-10-02,11:15,0.0,1112
104,2024-10-02,12:22,88.83,1114
105,2024-10-02,10:31,0.0,1113
106,2024-10-02,17:06,0.0,1116
107,2024-10-02,17:51,0.0,1114
108,2024-10-02,20:49,90.05,1116
109,2024-10-02,14:55,64.5,1115
110,2024-10-02,17:30,34.07,1114
111,2024-10-02,13:23,63.28,1114
112,2024-10-02,13:48,31.64,1116
113,2024-10-02,18:13,0.0,1112
114,2024-10-02,17:57,32.86,1112
115,2024-10-02,16:49,0.0,1117
116,2024-10-02,9:06,32.86,1113
117,2024-10-02,10:58,0.0,1117
118,2024-10-02,20:18,29.21,1115
119,2024-10-02,18:11,36.51,1115
120,2024-10-02,17:06,0.0,1113
121,2024-10-02,16:18,64.5,1112
122,2024-10-02,20:34,31.64,1117
123,2024-10-02,14:53,41.37,1114
124,2024-10-02,11:00,32.86,1115
125,2024-10-02,17:14,101.0,1115
126,2024-10-02,13:09,0.0,1111
127,2024-10-02,10:23,30.42,1113
128,2024-10-02,15:25,73.01,1116
129,2024-10-02,17:12,60.84,1111
130,2024-10-02,19:37,32.86,1114
131,2024-10-02,14:03,0.0,1114
132,2024-10-02,19:19,63.28,1115
133,2024-10-02,10:13,0.0,1115
134,2024-10-02,20:54,3.65,1117
135,2024-10-02,18:07,42.59,1116
136,2024-10-02,18:50,7.3,1117
137,2024-10-02,20:15,3.65,1112
138,2024-10-02,9:34,30.42,1111
139,2024-10-02,10:18,3.65,1116
140,2024-10-02,15:59,31.64,1115
141,2024-10-02,18:19,26.77,1114
142,2024-10-02,19:36,3.65,1117
143,2024-10-02,18:07,63.28,1115
144,2024-10-02,13:35,0.0,1116
145,2024-10-02,10:45,75.45,1115
146,2024-10-02,11:08,59.63,1112
147,2024-10-02,17:47,58.41,1115
148,2024-10-02,19:00,57.19,1111
149,2024-10-02,12:14,0.0,1112
150,2024-10-02,12:18,37.72,1112
151,2024-10-02,12:58,27.99,1117
152,2024-10-02,12:13,75.45,1112
153,2024-10-02,10:20,69.36,1113
154,2024-10-02,20:07,0.0,1111
155,2024-10-02,15:25,0.0,1114
156,2024-10-02,17:35,87.62,1111
157,2024-10-02,9:55,0.0,1113
158,2024-10-02,17:26,0.0,1115
159,2024-10-02,11:49,96.13,1117
160,2024-10-02,20:11,62.06,1116
161,2024-10-03,16:36,0.0,1112
162,2024-10-03,19:32,37.72,1115
163,2024-10-03,20:01,62.06,1112
164,2024-10-03,18:21,55.98,1112
165,2024-10-03,15:53,69.36,1111
166,2024-10-03,9:39,31.64,1116
167,2024-10-03,20:28,65.71,1113
168,2024-10-03,13:19,68.15,1112
169,2024-10-03,16:23,60.84,1116
170,2024-10-03,10:36,29.21,1113
171,2024-10-03,12:14,58.41,1117
172,2024-10-03,20:09,3.65,1113
173,2024-10-03,10:21,64.5,1114
174,2024-10-03,14:28,3.65,1113
175,2024-10-03,14:12,3.65,1111
176,2024-10-03,13:56,60.84,1116
177,2024-10-03,11:33,0.0,1113
178,2024-10-03,16:14,29.21,1115
179,2024-10-03,11:58,27.99,1114
180,2024-10-03,19:01,58.41,1117
181,2024-10-03,17:35,0.0,1111
