Order_Key,Order_Number,Combo_ID,Item_ID
1,1,0,24
2,1,0,25
3,2,0,15
4,2,0,22
5,2,0,28
6,3,0,15
7,3,0,24
8,4,0,21
9,4,0,1
10,4,0,21
11,4,0,27
12,4,1,22
13,5,0,6
14,5,0,25
15,5,0,23
16,6,0,30
17,6,0,22
18,7,0,5
19,7,0,22
20,7,1,20
21,7,1,9
22,7,1,23
23,7,1,23
24,8,0,17
25,8,0,29
26,9,0,22
27,10,0,3
28,10,1,28
29,11,0,12
30,11,0,21
31,11,1,8
32,11,1,27
33,11,2,30
34,12,0,21
35,12,0,13
36,13,0,32
37,14,0,15
38,14,0,28
39,14,0,20
40,15,0,5
41,15,0,24
42,15,0,28
43,15,1,22
44,15,1,32
45,16,0,22
46,16,0,18
47,16,0,21
48,16,0,30
49,16,1,8
50,16,1,28
51,16,1,23
52,17,0,5
53,17,1,3
54,17,1,25
55,18,0,32
56,18,0,26
57,18,0,10
58,18,0,25
59,18,0,21
60,19,0,1
61,19,0,20
62,19,0,31
63,19,1,2
64,19,1,29
65,19,2,18
66,19,2,24
67,19,2,32
68,20,0,1
69,20,1,13
70,20,1,28
71,20,1,28
72,21,0,9
73,21,1,19
74,21,1,30
75,21,1,23
76,22,0,6
77,22,1,2
78,23,0,18
79,23,1,5
80,23,1,25
81,24,0,21
82,24,0,24
83,25,0,17
84,25,0,26
85,25,0,25
86,25,1,32
87,26,0,29
88,26,0,4
89,26,0,28
90,27,0,32
91,27,0,27
92,28,0,6
93,29,0,27
94,29,0,1
95,29,0,20
96,29,0,31
97,30,0,13
98,30,1,9
99,31,0,11
100,32,0,11
101,33,0,9
102,33,0,25
103,33,0,28
104,33,1,4
105,33,1,24
106,33,1,21
107,34,0,20
108,34,0,12
109,34,1,24
110,35,0,22
111,35,0,14
112,35,0,29
113,35,0,26
114,36,0,24
115,37,0,31
116,37,0,7
117,38,0,15
118,38,1,17
119,38,1,29
120,38,1,30
121,39,0,9
122,39,0,25
123,40,0,30
124,41,0,28
125,42,0,7
126,42,0,30
127,42,0,29
128,42,1,30
129,42,1,2
130,42,1,27
131,42,1,31
132,43,0,11
133,43,0,31
134,43,1,20
135,44,0,20
136,44,0,11
137,44,0,22
138,45,0,25
139,46,0,14
140,46,0,28
141,46,0,21
142,46,1,9
143,47,0,6
144,47,0,22
145,47,1,16
146,47,2,26
147,48,0,29
148,48,0,13
149,48,0,30
